canvas_term_id,term_id,name,status,start_date,end_date,grading period
3920,2026~1134*1137,25-26/YL - Reid Park Academy,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3922,2026~1246*1249,25-26/YL - Starmount Academy of Excellence,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3883,2026~688*689,25-26/S2 - Turning Point Academy,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3884,2026~686*689,25-26/YL - Turning Point Academy,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3885,2026~1486*1489,25-26/YL - Turning Point Middle,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3925,2026~1094*1097,25-26/YL - Rama Road Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3930,2026~1118*1121,25-26/YL - Renaissance West STEAM Academy,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3928,2026~1118*1119,25-26/S1 - Renaissance West STEAM Academy,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3886,2026~1486*1487,25-26/S1 - Turning Point Middle,active,2025-08-25T00:00:00-04:00,2026-01-21T23:59:00-05:00,279
3888,2026~1446*1449,25-26/YL - Villa Heights Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3889,2026~1350*1353,25-26/YL - Walter G. Byers School,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3929,2026~1120*1121,25-26/S2 - Renaissance West STEAM Academy,active,2026-01-22T00:00:00-05:00,2026-06-10T23:59:00-04:00,279
3927,2026~838*841,25-26/YL - River Oaks Academy,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3931,2026~990*993,25-26/YL - Sedgefield Montessori,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
3923,2026~1262*1265,25-26/YL - Steele Creek Elementary,active,2025-08-25T00:00:00-04:00,2026-06-10T23:59:00-04:00,279
